Date,Upstream Time,Upstream to Datum (ft),Downstream Time,Downstream to Datum (ft)
2016-01-12,08:26:00,0.815,,
2016-01-14,,,08:15:00,3.5776000000000003
2016-02-26,07:20:00,0.825,09:47:00,3.6768
2016-04-06,,,07:59:00,3.5412
2016-04-07,09:34:00,0.7936,,
2016-05-12,07:47:00,1.0497999999999998,09:33:00,4.1
2016-06-24,11:35:00,2.2352,13:43:00,6.1318
2016-06-27,12:38:00,0.8564,10:08:00,3.7445999999999997
2016-07-27,07:28:00,1.154,,
2016-07-28,,,07:48:00,4.3612
2016-09-06,08:42:00,1.5672,10:14:00,5.1448
2016-10-18,11:50:00,0.7886,09:40:00,3.7032
2016-11-29,09:42:00,0.815,,
2016-11-30,,,13:52:00,3.6718
2016-12-21,10:28:00,0.82,,
2016-12-28,,,11:54:00,3.6718
2017-01-30,11:11:00,0.825,,
2017-02-08,,,10:51:00,4.063599999999999
2017-03-15,14:07:00,0.8464,11:50:00,3.8338
2017-04-24,,,11:38:00,3.9743999999999997
2017-05-03,11:47:00,0.82,,
2017-05-15,,,09:32:00,6.2623999999999995
2017-05-18,09:27:00,2.2352,,
2017-06-08,,,12:46:00,7.1452
2017-06-09,15:28:00,2.9196,,
2017-07-20,10:05:00,1.2431999999999999,11:35:00,4.4918
2017-08-21,,,17:03:00,3.7973999999999997
2017-08-29,11:09:00,0.8778,,
2017-09-13,,,14:12:00,3.8966
2017-10-11,13:42:00,0.7936,16:19:00,3.5462
2017-11-13,10:26:00,0.815,14:12:00,3.5148
2017-12-28,11:44:00,0.7936,,
2017-12-29,,,12:30:00,3.442
2018-01-30,12:00:00,0.7886,,
2018-01-31,,,11:50:00,3.4834
2018-03-12,,,13:00:00,3.4834
2018-03-14,15:21:00,0.815,,
2018-04-24,,,12:44:00,3.614
2018-04-25,13:15:00,0.8513999999999999,,
2018-06-04,,,11:47:00,4.815799999999999
2018-06-11,09:33:00,1.468,,
2018-07-16,,,13:45:00,4.3876
2018-07-17,14:14:00,1.2532,,
2018-08-28,14:31:00,1.311,12:26:00,4.4604
2018-10-05,,,13:31:00,4.3298000000000005
2018-10-10,13:11:00,1.1854,,
2018-11-15,13:10:00,0.7936,10:02:00,3.4783999999999997
2019-01-31,,,14:31:00,3.4734
2019-02-11,13:30:00,0.7936,,
2019-03-12,14:02:00,0.7936,12:33:00,3.604
2019-04-23,14:14:00,0.9769999999999999,11:08:00,3.6353999999999997
2019-05-31,,,11:44:00,5.744999999999999
2019-06-03,09:40:00,1.9954,,
2019-06-24,,,14:44:00,6.7947999999999995
2019-06-25,,,13:51:00,6.7534
2019-06-27,11:58:00,2.8518,,
2019-07-11,,,14:00:00,4.6952
2019-08-09,12:14:00,0.9869999999999999,,
2019-08-22,,,15:25:00,3.8123999999999993
2019-09-18,14:03:00,0.9505999999999999,,
2019-10-09,,,13:05:00,3.5676
2019-10-31,12:17:00,0.7886,,
2019-11-13,,,12:00:00,3.4734
2019-12-13,13:03:00,0.815,,
2019-12-20,,,15:46:00,3.452
2020-01-29,12:40:00,0.815,14:09:00,3.5048
2020-03-09,13:13:00,0.82,,
2020-03-12,,,10:02:00,3.5048
2020-04-24,10:08:00,1.144,,
2020-05-22,,,14:30:00,6.894
2020-05-27,11:40:00,2.0267999999999997,,
2020-07-02,,,11:35:00,4.4239999999999995
2020-07-08,13:00:00,1.2168,,
2020-08-14,,,13:55:00,3.9694
2020-08-18,12:23:00,1.0234,,
2020-10-01,,,13:30:00,4.0686
2020-10-08,17:40:00,1.1804,,
2020-11-05,10:34:00,0.815,,
2020-11-18,,,10:22:00,3.4783999999999997
2020-12-15,11:00:00,0.815,,
2021-01-06,,,11:00:00,3.4783999999999997
2021-01-21,11:22:00,0.815,,
2021-02-18,,,10:40:00,3.447
2021-03-04,09:42:00,0.815,,
2021-04-15,11:46:00,0.815,,
2021-06-03,09:53:00,0.8513999999999999,,
2021-07-09,09:40:00,0.9192,,
2021-09-16,12:37:00,1.1126,,
2021-09-21,,,14:15:00,3.7396
2021-10-28,11:29:00,0.815,,
2021-12-13,09:45:00,0.82,,
2022-01-04,,,14:00:00,3.4783999999999997
2022-01-28,09:46:00,0.825,,
2022-03-14,11:33:00,0.82,,
2022-04-25,09:36:00,0.815,,
2022-04-26,,,14:55:00,3.3792
2022-06-09,12:33:00,0.8778,,
2022-07-29,10:02:00,0.8513999999999999,,
2022-09-06,13:19:00,0.8778,,
2022-09-19,,,12:53:00,3.8701999999999996
2022-10-24,11:15:00,0.825,,
2022-12-19,09:32:00,0.82,,
2023-03-03,,,12:55:00,3.4834
2023-03-06,16:25:00,0.8464,,
2023-04-20,14:06:00,1.6713999999999998,11:39:00,5.092
2023-06-01,09:50:00,2.6948,12:42:00,6.920399999999999
2023-07-18,13:36:00,1.4365999999999999,,
2023-07-20,,,11:33:00,4.6952
2023-08-31,13:14:00,0.9192,,
2023-09-05,,,12:23:00,3.9015999999999997
2023-10-30,12:40:00,0.82,,
2023-12-11,12:51:00,0.82,,
2023-12-12,,,11:07:00,3.452
2024-02-06,,,09:51:00,3.5462
2024-04-16,09:55:00,1.154,10:30:00,4.1728
2024-05-14,10:10:00,1.64,13:00:00,5.0606
2024-06-03,14:00:00,3.0816,12:25:00,7.2758
2024-06-25,11:50:00,1.4365999999999999,,
2024-07-16,14:00:00,0.8564,11:56:00,3.5412
2024-08-07,,,12:08:00,3.5776000000000003
2024-10-08,14:55:00,0.9242,10:20:00,3.6768
2024-12-13,11:11:00,0.825,13:40:00,3.447
2025-02-12,14:49:00,0.825,12:53:00,3.5776000000000003
2025-04-08,14:33:00,1.154,12:43:00,4.0322
2025-05-23,00:00:00,1.9011999999999998,11:07:00,5.353199999999999
2025-07-22,,,12:07:00,3.4734
2025-07-31,12:05:00,0.8613999999999999,,
2025-08-21,,,10:34:00,4.5332
2025-08-29,11:53:00,1.5044,,
2025-09-26,,,11:38:00,4.7943999999999996
2025-11-21,10:34:00,0.7886,,
2025-12-22,,,12:24:00,3.4206000000000003
