Date,Downstream Time,Downstream Width (ft),Upstream Time,Upstream Width (ft)
2016-01-12,,,08:26:00,65.0
2016-01-14,08:15:00,57.0,,
2016-02-26,09:47:00,58.0,07:20:00,65.0
2016-04-06,07:59:00,58.5,,
2016-04-07,,,09:34:00,65.0
2016-05-12,09:33:00,58.5,07:47:00,61.0
2016-06-24,13:43:00,62.1,11:35:00,64.0
2016-06-27,10:08:00,59.0,12:38:00,64.5
2016-07-27,,,07:28:00,62.0
2016-07-28,07:48:00,59.0,,
2016-09-06,10:14:00,61.4,08:42:00,61.0
2016-10-18,09:40:00,59.5,11:50:00,64.0
2016-11-29,,,09:42:00,63.0
2016-11-30,13:52:00,56.3,,
2016-12-21,,,10:28:00,54.0
2016-12-28,11:54:00,47.0,,
2017-01-30,,,11:11:00,58.0
2017-02-08,10:51:00,56.0,,
2017-03-15,11:50:00,53.0,14:07:00,55.0
2017-04-24,11:38:00,57.2,,
2017-05-03,,,11:47:00,53.0
2017-05-15,09:32:00,62.9,,
2017-05-18,,,09:27:00,65.0
2017-06-08,12:46:00,60.1,,
2017-06-09,,,15:28:00,69.0
2017-07-20,11:35:00,56.7,10:05:00,61.0
2017-08-21,17:03:00,53.8,,
2017-08-29,,,11:09:00,47.0
2017-09-13,14:12:00,58.5,,
2017-10-11,16:19:00,57.2,13:42:00,63.4
2017-11-13,14:12:00,58.7,10:26:00,63.0
2017-12-28,,,11:44:00,84.0
2017-12-29,12:30:00,47.0,,
2018-01-30,,,12:00:00,55.0
2018-01-31,11:50:00,60.0,,
2018-03-12,13:00:00,52.9,,
2018-03-14,,,15:21:00,62.0
2018-04-24,12:44:00,59.9,,
2018-04-25,,,13:15:00,62.0
2018-06-04,11:47:00,62.1,,
2018-06-11,,,09:33:00,61.0
2018-07-16,13:45:00,61.0,,
2018-07-17,,,14:14:00,63.0
2018-08-28,12:26:00,59.8,14:31:00,60.0
2018-10-05,13:31:00,58.0,,
2018-10-10,,,13:11:00,60.0
2018-11-15,10:02:00,61.3,13:10:00,56.5
2019-01-31,14:31:00,52.3,,
2019-02-11,,,13:30:00,59.0
2019-03-12,12:33:00,51.5,14:02:00,56.0
2019-04-23,11:08:00,58.0,14:14:00,57.0
2019-05-31,11:44:00,62.0,,
2019-06-03,,,09:40:00,64.0
2019-06-24,14:44:00,61.7,,
2019-06-25,13:51:00,63.2,,
2019-06-27,,,11:58:00,66.0
2019-07-11,14:00:00,61.4,,
2019-08-09,,,12:14:00,49.0
2019-08-22,15:25:00,67.5,,
2019-09-18,,,14:03:00,57.0
2019-10-09,13:05:00,53.0,,
2019-10-31,,,12:17:00,56.0
2019-11-13,12:00:00,54.9,,
2019-12-13,,,13:03:00,59.0
2019-12-20,15:46:00,53.2,,
2020-01-29,14:09:00,56.0,12:40:00,58.5
2020-03-09,,,13:13:00,59.0
2020-03-12,10:02:00,54.0,,
2020-04-24,,,10:08:00,58.5
2020-05-22,14:30:00,61.4,,
2020-05-27,,,11:40:00,75.7
2020-07-02,11:35:00,59.5,,
2020-07-08,,,13:00:00,61.7
2020-08-14,13:55:00,59.9,,
2020-08-18,,,12:23:00,61.5
2020-10-01,13:30:00,57.8,,
2020-10-08,,,17:40:00,64.5
2020-11-05,,,10:34:00,60.0
2020-11-18,10:22:00,60.7,,
2020-12-15,,,11:00:00,60.0
2021-01-06,11:00:00,60.0,,
2021-01-21,,,11:22:00,61.0
2021-02-18,10:40:00,56.5,,
2021-03-04,,,09:42:00,59.0
2021-04-15,,,11:46:00,62.0
2021-06-03,,,09:53:00,58.0
2021-07-09,,,09:40:00,58.0
2021-09-16,,,12:37:00,61.0
2021-09-21,14:15:00,63.3,,
2021-10-28,,,11:29:00,58.0
2021-12-13,,,09:45:00,58.0
2022-01-04,14:00:00,61.0,,
2022-01-28,,,09:46:00,57.0
2022-03-14,,,11:33:00,57.0
2022-04-25,,,09:36:00,56.0
2022-04-26,14:55:00,59.0,,
2022-06-09,,,12:33:00,59.0
2022-07-29,,,10:02:00,56.0
2022-09-06,,,13:19:00,63.5
2022-09-19,12:53:00,56.0,,
2022-10-24,,,11:15:00,58.0
2022-12-19,,,09:32:00,60.0
2023-03-03,12:55:00,56.8,,
2023-03-06,,,16:25:00,60.0
2023-04-20,11:39:00,59.6,14:06:00,63.0
2023-06-01,12:42:00,65.7,09:50:00,70.0
2023-07-18,,,13:36:00,62.0
2023-07-20,11:33:00,62.2,,
2023-08-31,,,13:14:00,49.0
2023-09-05,12:23:00,62.6,,
2023-10-30,,,12:40:00,60.0
2023-12-11,,,12:51:00,60.0
2023-12-12,11:07:00,60.7,,
2024-02-06,09:51:00,54.7,,
2024-02-08,,,,55.9
2024-04-16,10:30:00,56.7,09:55:00,65.0
2024-05-14,13:00:00,55.9,10:10:00,66.0
2024-06-03,12:25:00,81.6,14:00:00,74.0
2024-06-25,,,11:50:00,63.0
2024-07-16,11:56:00,61.0,14:00:00,57.1
2024-08-07,12:08:00,60.6,,
2024-10-08,10:20:00,57.8,14:55:00,61.5
2024-12-13,13:40:00,56.5,11:11:00,57.0
2025-02-12,12:53:00,60.4,14:49:00,56.0
2025-04-08,12:43:00,62.7,14:33:00,57.0
2025-05-23,11:07:00,66.3,00:00:00,66.0
2025-07-22,12:07:00,60.4,,
2025-07-31,,,12:05:00,56.0
2025-08-21,10:34:00,64.3,,
2025-08-29,,,11:53:00,59.0
2025-09-26,11:38:00,62.8,,
2025-11-21,,,10:34:00,55.0
2025-12-22,12:24:00,60.2,,
