Date,Upstream Time,Upstream Depth (ft),Downstream Time,Downstream Depth (ft)
2016-01-12,08:26:00,2.435,,
2016-01-14,,,08:15:00,10.7576
2016-02-26,07:20:00,2.465,09:47:00,11.0368
2016-04-06,,,07:59:00,10.661200000000001
2016-04-07,09:34:00,2.3936,,
2016-05-12,07:47:00,3.1498,09:33:00,12.32
2016-06-24,11:35:00,7.0152,13:43:00,19.0118
2016-06-27,12:38:00,2.5164,10:08:00,11.2246
2016-07-27,07:28:00,3.474,,
2016-07-28,,,07:48:00,13.121199999999998
2016-09-06,08:42:00,4.7072,10:14:00,15.424800000000001
2016-10-18,11:50:00,2.3686,09:40:00,11.103200000000001
2016-11-29,09:42:00,2.435,,
2016-11-30,,,13:52:00,11.0318
2016-12-21,10:28:00,2.46,,
2016-12-28,,,11:54:00,11.011800000000001
2017-01-30,11:11:00,2.465,,
2017-02-08,,,10:51:00,12.3836
2017-03-15,14:07:00,2.5263999999999998,11:50:00,11.4738
2017-04-24,,,11:38:00,11.994399999999999
2017-05-03,11:47:00,2.48,,
2017-05-15,,,09:32:00,
2017-05-18,09:27:00,6.6952,,
2017-06-08,,,12:46:00,21.5052
2017-06-09,15:28:00,8.759599999999999,,
2017-07-20,10:05:00,3.7032,11:35:00,13.4118
2017-08-21,,,17:03:00,11.2974
2017-08-29,11:09:00,2.5978,,
2017-09-13,,,14:12:00,11.5366
2017-10-11,13:42:00,2.3936,16:19:00,10.6062
2017-11-13,10:26:00,2.435,14:12:00,10.514800000000001
2017-12-28,11:44:00,2.3936,,
2017-12-29,,,12:30:00,10.382000000000001
2018-01-30,12:00:00,2.3886000000000003,,
2018-01-31,,,11:50:00,10.4234
2018-03-12,,,13:00:00,10.5234
2018-03-14,15:21:00,2.415,,
2018-04-24,,,12:44:00,10.934000000000001
2018-04-25,13:15:00,2.5313999999999997,,
2018-06-04,,,11:47:00,14.4958
2018-06-11,09:33:00,4.4079999999999995,,
2018-07-16,,,13:45:00,13.2076
2018-07-17,14:14:00,3.7332,,
2018-08-28,14:31:00,3.9109999999999996,12:26:00,13.380400000000002
2018-10-05,,,13:31:00,12.8698
2018-10-10,13:11:00,3.5454,,
2018-11-15,13:10:00,2.3936,10:02:00,10.4384
2019-01-31,,,14:31:00,10.3734
2019-02-11,13:30:00,2.3736,,
2019-03-12,14:02:00,2.3936,12:33:00,10.943999999999999
2019-04-23,14:14:00,2.577,11:08:00,10.7954
2019-05-31,,,11:44:00,16.905
2019-06-03,09:40:00,5.9554,,
2019-06-24,,,14:44:00,21.2548
2019-06-25,,,13:51:00,20.273400000000002
2019-06-27,11:58:00,8.5518,,
2019-07-11,,,14:00:00,14.1552
2019-08-09,12:14:00,2.987,,
2019-08-22,,,15:25:00,11.452399999999999
2019-09-18,14:03:00,2.8305999999999996,,
2019-10-09,,,13:05:00,10.6676
2019-10-31,12:17:00,2.3686,,
2019-11-13,,,12:00:00,10.413400000000001
2019-12-13,13:03:00,2.435,,
2019-12-20,,,15:46:00,10.392000000000001
2020-01-29,12:40:00,2.435,14:09:00,10.524799999999999
2020-03-09,13:13:00,2.48,,
2020-03-12,,,10:02:00,10.524799999999999
2020-04-24,10:08:00,3.3040000000000003,,
2020-05-22,,,14:30:00,21.334
2020-05-27,11:40:00,6.126799999999999,,
2020-07-02,,,11:35:00,13.304000000000002
2020-07-08,13:00:00,3.6368,,
2020-08-14,,,13:55:00,11.7894
2020-08-18,12:23:00,3.1034,,
2020-10-01,,,13:30:00,12.2286
2020-10-08,17:40:00,3.5404,,
2020-11-05,10:34:00,2.435,,
2020-11-18,,,10:22:00,10.458400000000001
2020-12-15,11:00:00,2.435,,
2021-01-06,,,11:00:00,10.3384
2021-01-21,11:22:00,2.435,,
2021-02-18,,,10:40:00,10.327
2021-03-04,09:42:00,2.415,,
2021-04-15,11:46:00,2.435,,
2021-06-03,09:53:00,2.5713999999999997,,
2021-07-09,09:40:00,2.7192,,
2021-09-16,12:37:00,3.2926,,
2021-09-21,,,14:15:00,11.1796
2021-10-28,11:29:00,2.435,,
2021-12-13,09:45:00,2.48,,
2022-01-04,,,14:00:00,10.458400000000001
2022-01-28,09:46:00,2.485,,
2022-03-14,11:33:00,2.46,,
2022-04-25,09:36:00,2.435,,
2022-04-26,,,14:55:00,10.139199999999999
2022-06-09,12:33:00,2.6178,,
2022-07-29,10:02:00,2.5514,,
2022-09-06,13:19:00,2.5378,,
2022-09-19,,,12:53:00,11.610199999999999
2022-10-24,11:15:00,2.485,,
2022-12-19,09:32:00,2.46,,
2023-03-03,,,12:55:00,10.4634
2023-03-06,16:25:00,2.5064,,
2023-04-20,14:06:00,5.0314,11:39:00,15.352
2023-06-01,09:50:00,8.114799999999999,12:42:00,20.7004
2023-07-18,13:36:00,4.6766000000000005,,
2023-07-20,,,11:33:00,13.935200000000002
2023-08-31,13:14:00,2.7992,,
2023-09-05,,,12:23:00,11.9016
2023-10-30,12:40:00,2.44,,
2023-12-11,12:51:00,2.48,,
2023-12-12,,,11:07:00,10.352
2024-02-06,,,09:51:00,10.6262
2024-04-16,09:55:00,3.5139999999999993,10:30:00,12.492799999999999
2024-05-14,10:10:00,4.92,13:00:00,15.200600000000001
2024-06-03,14:00:00,8.961599999999999,12:25:00,21.7758
2024-06-25,11:50:00,4.2966,,
2024-07-16,14:00:00,2.5964,11:56:00,11.0012
2024-08-07,,,12:08:00,10.7376
2024-10-08,14:55:00,2.7042,10:20:00,10.9768
2024-12-13,11:11:00,2.485,13:40:00,10.327
2025-02-12,14:49:00,2.485,12:53:00,10.5576
2025-04-08,14:33:00,3.4539999999999997,12:43:00,12.072199999999999
2025-05-23,00:00:00,5.7212,11:07:00,16.053199999999997
2025-07-22,,,12:07:00,10.6134
2025-07-31,12:05:00,2.5214,,
2025-08-21,,,10:34:00,13.633199999999999
2025-08-29,11:53:00,4.5443999999999996,,
2025-09-26,,,11:38:00,14.394400000000001
2025-11-21,10:34:00,2.3686,,
2025-12-22,,,12:24:00,10.3006
