,slope,length_m
0,1e-05,283.98235615409476
1,1e-05,997.2138585504753
2,1e-05,2047.6117950302084
3,1e-05,1931.9443043852882
4,1e-05,1444.8794375396233
5,0.00034371,4974.436331855114
6,1e-05,9594.428621356767
7,0.00107565,1928.3561050694698
8,1e-05,1504.6961957529836
9,1e-05,184.29546303917266
10,0.00024141,13432.326965403081
11,0.00019207,4933.589790137631
12,0.00024225,2507.2910383193926
13,0.00016513,5992.793494100044
14,0.00071017,9205.898830237375
15,1e-05,8091.755879957557
16,1e-05,866.221988991739
17,1e-05,2356.780955593077
18,1e-05,7410.6654680142
19,1e-05,100.315434345783
20,1e-05,6172.958861469986
21,0.00053569,8837.901945332356
22,0.0010964,526.5507014795586
23,0.00077378,5915.908713052174
24,0.00050061,7272.226603407881
25,0.00067975,2633.253359388353
