,Unnamed: 0,Date,Time,Width (m),Discharge (cms),Depth (m),t (days),x (m)
0,0,1/7/16,14:05:00,82.01219512,81,1.054878049,0.0,0
1,1,2/24/16,14:43:00,89.63414634,83,1.02,48.02638888888889,0
2,2,4/19/16,14:34:00,92.07317073,164,1.44,103.0201388888889,0
3,3,5/12/16,11:26:00,100.9146341,435,2.44,125.88958333333332,0
4,4,6/8/16,9:20:00,102.1341463,544,2.82,152.80208333333334,0
5,5,7/26/16,13:00:00,85.97560976,55,0.83,200.95486111111111,0
6,6,10/25/16,13:50:00,82.01219512,47,0.74,291.9895833333333,0
7,7,1/11/17,12:48:00,75.6097561,68,0.92,369.94652777777776,0
8,8,2/16/17,7:54:00,87.5,79,1.0,405.7423611111111,0
9,9,3/24/17,9:14:00,96.34146341,242,1.74,441.79791666666665,0
10,10,5/4/17,19:09:00,97.25609756,345,2.14,483.2111111111111,0
11,11,6/13/17,8:28:00,103.9634146,524,2.74,522.7659722222222,0
12,12,7/18/17,16:35:00,86.58536585,98,1.12,558.1041666666666,0
13,13,10/4/17,18:46:00,91.15853659,101,1.14,636.1951388888889,0
14,14,11/13/17,16:50:00,89.63414634,85,1.07,676.1145833333334,0
15,15,12/20/17,9:21:00,89.63414634,89,1.12,712.8027777777778,0
16,16,1/31/18,14:20:00,91.46341463,98,1.13,755.0104166666666,0
17,17,3/15/18,13:32:00,85.97560976,65,0.89,797.9770833333333,0
18,18,4/19/18,8:42:00,92.07317073,108,1.19,832.7756944444444,0
19,19,5/24/18,14:32:00,95.12195122,303,2.01,868.01875,0
20,20,6/27/18,14:06:00,85.36585366,68,0.92,902.0006944444444,0
21,21,8/9/18,18:34:00,83.53658537,66,0.91,945.1868055555556,0
22,22,9/14/18,14:09:00,82.92682927,53,0.81,981.0027777777776,0
23,23,10/25/18,13:37:00,82.01219512,51,0.76,1021.9805555555556,0
24,24,12/6/18,16:12:00,87.80487805,69,0.94,1064.0881944444443,0
25,25,2/4/19,17:06:00,78.35365854,73,0.97,1124.1256944444444,0
26,26,3/7/19,18:53:00,77.43902439,40,0.67,1155.2,0
27,27,4/24/19,18:56:00,94.51219512,227,1.7,1203.2020833333331,0
28,28,6/10/19,13:36:00,103.3536585,571,2.93,1249.9798611111112,0
29,29,7/23/19,11:59:00,91.15853659,90,1.08,1292.9125,0
30,30,8/29/19,8:38:00,85.06097561,60,0.87,1329.7729166666666,0
31,31,10/7/19,13:12:00,79.57317073,52,0.77,1368.9631944444443,0
32,32,11/14/19,13:34:00,80.79268293,47,0.75,1406.9784722222223,0
33,33,12/17/19,14:04:00,87.19512195,72,0.94,1439.9993055555556,0
34,34,1/23/20,10:14:00,88.41463415,68,0.9,1476.8395833333334,0
35,35,3/4/20,12:33:00,85.97560976,66,0.91,1517.9361111111111,0
36,36,5/21/20,15:40:00,96.95121951,345,2.15,1596.0659722222222,0
37,37,5/29/20,13:12:00,97.86585366,398,2.37,1603.9631944444443,0
38,38,6/4/20,17:14:00,99.69512195,500,2.68,1610.13125,0
39,39,7/1/20,14:25:00,78.04878049,73,0.95,1637.013888888889,0
40,40,8/26/20,14:30:00,76.52439024,52,0.77,1693.017361111111,0
41,41,11/17/20,16:39:00,74.3902439,39,0.64,1776.1069444444445,0
42,42,12/22/20,15:26:00,70.73170732,36,0.62,1811.05625,0
43,43,2/3/21,8:59:00,73.47560976,44,0.7,1853.7875,0
44,44,3/16/21,10:59:00,75.30487805,47,0.73,1894.8708333333336,0
45,45,4/22/21,14:43:00,74.69512195,54,0.79,1932.026388888889,0
46,46,5/25/21,13:18:00,90.24390244,271,1.91,1964.9673611111111,0
47,47,6/30/21,14:05:00,76.82926829,42,0.68,2001.0,0
48,48,8/11/21,15:36:00,73.47560976,44,0.71,2043.0631944444444,0
49,49,5/9/23,15:21:00,98.17073171,395,2.31,2679.052777777778,0
